data;petr4;bbdc3;vale5;ambv4;itub4
2005-01-19;0,005945946;0,027249559;-0,00755287;-0,0129683;0,017857143
2005-01-20;-0,022568512;-0,017175573;-0,005936073;-0,03649635;-0,01754386
2005-01-21;0,001649258;-0,029126214;0,025876589;0,024257576;-0,006377551
2005-01-24;0,013062569;0;0,032537313;0,00590228;0,003851091
2005-01-25;;;;;
2005-01-26;;;;;
2005-01-27;-0,002123142;0,00586625;-0,016371875;-0,031065089;-0,015625407
2005-01-28;-0,012765957;0,006998445;-0,014712439;0,013129771;0,002672028
2005-01-31;0,016163793;0,042471042;-0,009049774;0,008137432;0,025593667
2005-02-01;-0,005302227;0;0,014459665;-0,001494768;0,024759993
2005-02-02;0,014925373;0,038126931;-0,008252063;-0,001497006;0,027251036
2005-02-03;0,010504202;0,0785574;-0,012102874;-0,002998501;0,034229829
2005-02-04;0,011434511;0,088892567;0;0,052631579;0,035460993
2005-02-07;;;;;
2005-02-08;;;;;
2005-02-09;;;;;
2005-02-10;-0,004527114;-0,026785714;-0,012987013;0,002737276;-0,002304147
2005-02-11;0,016213544;0,009174312;0,003095975;0,004129;-0,000230947
2005-02-14;-0,009144858;0,060606061;0,006172839;0,016393443;0,034857935
2005-02-15;-0,007854688;-0,007142857;0,009815951;0,019354839;0,011160963
2005-02-16;0,014349332;-0,021582734;-0,010479951;-0,015031646;-0,019823837
2005-02-17;0,00195122;0;0,02609363;0,004016064;0,006734083
2005-02-18;0;-0,010294118;0,017202693;0,004;-0,032192394
2005-02-21;0,012658228;-0,022288262;0,025735294;0;-0,003721597
2005-02-22;0,007692308;0,025835866;0,043727599;0,006640106;0,024361949
2005-02-23;0,020992366;0,01037037;0,03021978;0,006068602;0,001132503
2005-02-24;0,03364486;0,041055718;0,050666667;0,049042749;0,049773756
2005-02-25;0,022151899;-0,007042254;-0,027284264;0,005;-0,012931034
2005-02-28;-0,016099071;0;-0,026744945;-0,045995025;-0,017467249
2005-03-01;-0,041086038;0,019858156;-0,028150134;0,04951631;0,007069337
2005-03-02;0,028501781;-0,013125844;0,026206897;-0,022360248;0,011037284
2005-03-03;0,034639927;0,021156559;0,033602151;0,016531131;0,03709526
2005-03-04;0,015859031;0,03301105;0,028608583;0,003737453;0,023157895
2005-03-07;0,003902862;0,030886482;0,004930468;0,02241594;0,003108808
2005-03-08;-0,011663067;-0,015693904;-0,021386338;0,004872107;-0,002479339
2005-03-09;-0,017482517;-0,024904467;-0,003727986;-0,024242424;-0,016176471
2005-03-10;-0,026690392;-0,010135135;-0,015483871;-0,014906832;-0,005242216
2005-03-11;-0,016453382;-0,005051195;-0,007863696;0,008827238;-0,005291005
2005-03-14;-0,007434944;-0,025795829;-0,015852048;-0,00375;-0,014468085
2005-03-15;-0,026217228;-0,021126761;-0,010738255;-0,016311167;-0,009499136
2005-03-16;0,021153846;0,014244604;-0,009497965;0,00255102;0,015693112
2005-03-17;0,010263654;0,007235069;0,040410959;-0,007633588;0,008583691
2005-03-18;-0,012023488;0;-0,013824885;-0,006282051;-0,027659574
2005-03-21;-0,002830189;-0,002816901;-0,018691589;-0,006579796;-0,032822757
2005-03-22;-0,027341533;-0,00579096;-0,008163265;-0,002467532;-0,013574661
2005-03-23;-0,014687287;-0,020883648;-0,043209877;-0,023538602;-0,028669725
2005-03-24;0,012833169;0,006964597;0,040860215;0,016372897;0,043683589
2005-03-25;;;;;
2005-03-28;;;;;
2005-03-29;-0,015384615;-0,013256739;-0,041971831;-0,023577982;-0,022016222
2005-03-30;0,022177419;0,004627556;0,032049397;0,021462799;0,016587678
2005-03-31;0,017258383;-0,004457652;0,022792023;0,015768725;0,013986014
2005-04-01;0,023827894;-0,010447761;0;-0,029754204;-0,001908792
2005-04-04;0;-0,004423109;-0,026462396;-0,001333333;-0,011520737
2005-04-05;-0,024927815;-0,014404852;-0,02360515;-0,002670227;-0,001165501
2005-04-06;-0,001085776;0,004615385;-0,015384615;-0,010709505;-0,001166861
2005-04-07;0,002371542;0,026033691;0,019494048;0,00270636;0,004672897
2005-04-08;-0,014195584;-0,007462687;0,002773318;-0,020242915;-0,006976744
2005-04-11;0,005;0;-0,004366812;0;0,009367681
2005-04-12;-0,004975124;0;-0,015643275;-0,008126722;-0,00812065
2005-04-13;-0,02;0,007518797;-0,036090896;0,001249826;0,001169591
