data,cdi,variacao_cdi,preco_petro,variacao_petro
2012-09-19,7.33,0,23.4,-0.0274313810237483
2012-09-20,7.35,0.002728512960436504,23.6,0.00854700854700867
2012-09-21,7.35,0,23.450001,-0.00635588983050852
2012-09-24,7.35,0,23.709999,0.01108733428199
2012-09-25,7.38,0.004081632653061259,23.5,-0.00885698055069508
2012-09-26,7.37,-0.0013550135501354725,23.6,0.00425531914893623
2012-09-27,7.36,-0.001356852103120731,23.58,-8.47457627118777e-4
2012-09-28,7.36,0,23.299999,-0.011874512298558
2012-10-01,7.36,0,23.35,0.00214596575733766
2012-10-02,7.35,-0.0013586956521740047,23.530001,0.00770882226980716
2012-10-03,7.36,0.0013605442176871667,23.17,-0.0152996593582804
2012-10-04,7.36,0,23.25,0.00345274061286139
2012-10-05,7.36,0,23.1,-0.00645161290322575
2012-10-08,7.36,0,23.309999,0.00909086580086579
2012-10-09,7.35,-0.0013586956521740047,23.1,-0.00900896649545115
2012-10-10,7.33,-0.002721088435374092,22.950001,-0.00649346320346325
2012-10-11,7.04,-0.03956343792633015,23.35,0.0174291495673574
2012-10-15,7.04,0,23.68,0.0141327623126338
2012-10-16,7.05,0.0014204545454545151,23.68,0
2012-10-17,7.06,0.0014184397163120265,23.450001,-0.00971279560810808
2012-10-18,7.08,0.0028328611898017653,23.5,0.00213215342720027
2012-10-19,7.08,0,23.030001,-0.0199999574468086
2012-10-22,7.12,0.005649717514124299,22.950001,-0.00347372976666385
2012-10-23,7.12,0,22.5,-0.0196078858558656
2012-10-24,7.13,0.001404494382022442,22.27,-0.0102222222222222
2012-10-25,7.11,-0.0028050490883589864,22.52,0.0112258643915582
2012-10-26,7.09,-0.002812939521800346,22.889999,0.0164297957371226
2012-10-29,7.08,-0.0014104372355429884,22.1,-0.0345128455444667
2012-10-30,7.07,-0.0014124293785310433,22.299999,0.00904972850678725
2012-10-31,7.09,0.0028288543140027682,21.5,-0.0358743962275514
2012-11-01,7.11,0.0028208744710861017,21.65,0.00697674418604645
2012-11-05,7.12,0.0014064697609001105,22,0.0161662817551964
2012-11-06,7.12,0,22.440001,0.0200000454545454
2012-11-07,7.13,0.001404494382022442,21.889999,-0.0245098919558871
2012-11-08,7.09,-0.005610098176718098,21.26,-0.0287802205929748
2012-11-09,7.09,0,21.440001,0.00846665098777033
2012-11-12,7.07,-0.0028208744710859768,21.07,-0.017257508523437
2012-11-13,7.06,-0.0014144271570015099,21.110001,0.00189848125296631
2012-11-14,7.06,0,20.4,-0.0336333949013078
2012-11-16,7.05,-0.0014164305949008198,19.620001,-0.0382352450980392
2012-11-19,7.03,-0.002836879432624053,19.75,0.00662584064088486
2012-11-21,6.99,-0.0028530670470755456,19.200001,-0.0278480506329114
2012-11-22,7.09,0.014306151645207387,19.25,0.00260411444770236
2012-11-23,7.12,0.00423131170662909,19.82,0.0296103896103896
2012-11-26,7.13,0.001404494382022442,19.370001,-0.0227042885973765
2012-11-27,7.12,-0.0014025245441794932,19.07,-0.0154879186635044
2012-11-28,7.11,-0.001404494382022442,19.200001,0.00681704247509177
2012-11-29,7.07,-0.005625879043600567,19.530001,0.0171874991048177
2012-11-30,7.06,-0.0014144271570015099,19.1,-0.0220174591900941
2012-12-03,7.07,0.0014164305949009456,19.43,0.0172774869109947
2012-12-04,7.07,0,19.16,-0.0138960370560988
2012-12-05,7.06,-0.0014144271570015099,19.290001,0.00678502087682672
2012-12-06,7.05,-0.0014164305949008198,19.040001,-0.0129600822726759
2012-12-07,7.04,-0.0014184397163120265,19.450001,0.0215336123144111
2012-12-10,7.01,-0.004261363636363672,19.93,0.0246786105563696
2012-12-11,6.97,-0.005706134094151218,20.24,0.0155544405418966
2012-12-12,6.97,0,20.059999,-0.00889333003952555
2012-12-13,6.95,-0.0028694404591104125,19.77,-0.0144565809798895
2012-12-14,6.9,-0.007194244604316521,20.549999,0.0394536671724836
2012-12-17,6.89,-0.0014492753623189384,20.219999,-0.0160583949420143
2012-12-18,6.87,-0.0029027576197386902,20.4,0.0089021270475828
2012-12-19,6.84,-0.004366812227074272,21.129999,0.0357842647058825
2012-12-20,6.85,0.0014619883040935362,21.27,0.00662569837319907
2012-12-21,6.87,0.0029197080291971478,20.879999,-0.0183357310766337
2012-12-26,6.9,0.004366812227074272,20.190001,-0.033045882808711
2012-12-27,6.9,0,19.5,-0.0341753821607041
2012-12-28,6.9,0,19.549999,0.00256405128205127
2013-01-02,6.92,0.002898550724637619,19.84,0.0148338115004507
2013-01-03,6.92,0,20.58,0.0372983870967741
2013-01-04,6.93,0.0014450867052022813,20.65,0.0034013605442177
2013-01-07,6.92,-0.0014430014430014122,20.379999,-0.0130751089588376
2013-01-08,6.91,-0.0014450867052022813,19.799999,-0.0284592751942727
2013-01-09,6.9,-0.001447178002894325,20,0.0101010611162152
2013-01-10,6.91,0.0014492753623188096,20.129999,0.00649995000000008
2013-01-11,6.92,0.001447178002894325,20.18,0.00248390474336328
2013-01-14,6.93,0.0014450867052022813,20.059999,-0.00594653121902867
2013-01-15,6.94,0.0014430014430015404,20.129999,0.00348953157973738
2013-01-16,6.94,0,20.200001,0.00347749644696946
2013-01-17,6.94,0,20.059999,-0.00693079173609937
2013-01-18,6.92,-0.002881844380403525,19.9,-0.00797602233180583
2013-01-21,6.93,0.0014450867052022813,19.709999,-0.00954778894472356
2013-01-22,6.93,0,19.969999,0.0131912741345142
2013-01-23,6.93,0,19.83,-0.00701046604959785
2013-01-24,6.93,0,19.92,0.00453857791225433
2013-01-28,6.94,0,19.6,-0.0160642570281125
2013-01-29,6.95,0.0014409221902016982,19.34,-0.0132653061224491
2013-01-30,6.95,0,18.35,-0.0511892450879006
2013-01-31,6.95,0,18.23,-0.0065395095367848
2013-02-01,6.95,0,18.620001,0.0213933625891387
2013-02-04,6.96,0.0014388489208632786,18.1,-0.0279270124636404
2013-02-05,6.96,0,16.6,-0.0828729281767956
2013-02-06,6.96,0,16.389999,-0.0126506626506025
2013-02-07,6.95,-0.0014367816091953717,16.1,-0.0176936557470198
2013-02-08,6.95,0,16,-0.00621118012422369
2013-02-13,6.95,0,15.87,-0.00812500000000005
2013-02-14,6.94,-0.0014388489208632786,15.79,-0.00504095778197858
2013-02-15,6.94,0,15.7,-0.00569981000633311
2013-02-18,6.94,0,15.97,0.0171974522292994
2013-02-19,6.93,-0.0014409221902018264,15.95,-0.00125234815278656
2013-02-20,6.95,0.002886002886002953,15.52,-0.0269592476489028
2013-02-21,6.95,0,15.17,-0.0225515463917526
2013-02-22,6.96,0.0014388489208632786,15.1,-0.00461437046802902
2013-02-25,7,0.005747126436781614,14.9,-0.0132450331125827
2013-02-26,6.98,-0.0028571428571427964,14.7,-0.0134228187919464
2013-02-27,6.98,0,14.73,0.00204081632653069
2013-02-28,6.98,0,14.49,-0.0162932790224033
2013-03-01,6.98,0,14.68,0.0131124913733609
2013-03-04,6.99,0.0014326647564469608,14.23,-0.0306539509536784
2013-03-05,6.99,0,14.25,0.00140548137737172
2013-03-06,6.99,0,16.41,0.151578947368421
2013-03-07,6.99,0,17.219999,0.0493600853138331
2013-03-08,6.99,0,16.700001,-0.0301973304411923
2013-03-11,6.99,0,17.190001,0.0293413156083044
2013-03-12,6.99,0,16.940001,-0.0145433383046342
2013-03-13,6.99,0,16.9,-0.00236133398103106
2013-03-14,6.99,0,17.43,0.0313609467455622
2013-03-15,6.99,0,17.799999,0.0212277108433735
2013-03-18,6.99,0,17.629999,-0.00955056233430115
2013-03-19,6.99,0,17.469999,-0.00907544010637778
2013-03-20,6.99,0,17.25,-0.0125929600797345
2013-03-21,6.99,0,16.950001,-0.0173912463768116
2013-03-22,6.99,0,17.01,0.00353976380296386
2013-03-25,6.99,0,16.889999,-0.00705473251028818
2013-03-26,6.99,0,16.9,5.92125553115725e-4
2013-03-27,6.99,0,16.9,0
2013-03-28,7.01,0.0028612303290414267,16.9,0
2013-04-01,7.02,0.0014265335235377728,16.549999,-0.0207101183431952
2013-04-02,7.02,0,16.16,-0.0235648956836795
2013-04-03,7.01,-0.0014245014245013942,16.6,0.0272277227722773
2013-04-04,7.01,0,16.280001,-0.0192770481927713
2013-04-05,7.01,0,16.32,0.00245694088102339
2013-04-08,7.01,0,16,-0.0196078431372549
2013-04-09,7.01,0,16.85,0.0531250000000001
2013-04-10,7.01,0,17,0.00890207715133523
2013-04-11,7.01,0,16.610001,-0.0229411176470588
2013-04-12,7.01,0,16.41,-0.0120409986730284
2013-04-15,7.01,0,15.65,-0.0463132236441194
2013-04-16,7,-0.0014265335235377728,15.95,0.0191693290734824
2013-04-17,7,0,15.45,-0.0313479623824451
2013-04-18,7.24,0.034285714285714315,16.09,0.0414239482200648
2013-04-19,7.24,0,16.74,0.0403977625854567
2013-04-22,7.24,0,17.129999,0.0232974313022702
2013-04-23,7.24,0,17.6,0.0274373045789436
2013-04-24,7.24,0,18.059999,0.0261363068181818
2013-04-25,7.24,0,17.870001,-0.0105203771052259
2013-04-29,7.23,0,19.16,0.0721879646229456
2013-04-30,7.23,0,19.190001,0.0015658141962421
2013-05-02,7.23,0,19.25,0.00312657617891741
2013-05-03,7.23,0,19,-0.012987012987013
2013-05-06,7.24,0.0013831258644536356,19.43,0.0226315789473684
2013-05-07,7.24,0,19.59,0.00823468862583634
2013-05-08,7.23,-0.0013812154696132301,19.25,-0.0173557937723328
2013-05-09,7.24,0.0013831258644536356,19.290001,0.00207797402597404
2013-05-10,7.23,-0.0013812154696132301,19.200001,-0.00466562961816331
2013-05-13,7.22,-0.0013831258644537586,18.75,-0.0234375508626276
2013-05-14,7.22,0,18.799999,0.00266661333333332
2013-05-15,7.22,0,18.91,0.00585111733250627
2013-05-16,7.22,0,18.809999,-0.00528826017979899
2013-05-17,7.22,0,19.09,0.0148857530508108
2013-05-20,7.22,0,19.33,0.0125720272393923
2013-05-21,7.22,0,19.379999,0.00258660113812743
2013-05-22,7.22,0,18.84,-0.027863726927953
2013-05-23,7.22,0,18.700001,-0.00743094479830146
2013-05-24,7.22,0,18.690001,-5.34759329692098e-4
2013-05-27,7.22,0,18.549999,-0.00749074331242674
2013-05-28,7.22,0,18.92,0.0199461466278247
2013-05-29,7.22,0,18.73,-0.0100422832980973
2013-05-31,7.72,0.06925207756232687,18.969999,0.012813614522157
2013-06-03,7.72,0,19.02,0.00263579349687884
2013-06-04,7.72,0,18.93,-0.00473186119873816
2013-06-05,7.72,0,18.1,-0.0438457474907553
2013-06-06,7.72,0,18.120001,0.00110502762430923
2013-06-07,7.72,0,17.620001,-0.0275938174617099
2013-06-10,7.72,0,17.73,0.00624284868088271
2013-06-11,7.72,0,17.209999,-0.0293288776085731
2013-06-12,7.72,0,16.719999,-0.0284718203644287
2013-06-13,7.72,0,17.35,0.0376794878994909
2013-06-14,7.72,0,16.530001,-0.0472621902017293
2013-06-17,7.72,0,16.709999,0.0108891705451198
2013-06-18,7.72,0,16.459999,-0.0149611020323819
2013-06-19,7.72,0,16.049999,-0.0249088715011465
2013-06-20,7.72,0,16.049999,0
2013-06-21,7.72,0,15.29,-0.0473519655671007
2013-06-24,7.72,0,14.75,-0.0353172007848266
2013-06-25,7.72,0,14.7,-0.00338983050847462
2013-06-26,7.72,0,14.8,0.00680272108843547
2013-06-27,7.72,0,14.89,0.00608108108108107
2013-06-28,7.72,0,14.8,-0.00604432505036937
2013-07-01,7.72,0,14.72,-0.00540540540540541
2013-07-02,7.72,0,14.14,-0.0394021739130435
2013-07-03,7.72,0,14.43,0.0205091937765204
2013-07-04,7.72,0,14.57,0.00970200970200974
2013-07-05,7.72,0,13.68,-0.0610844200411805
2013-07-08,7.72,0,13.61,-0.00511695906432751
2013-07-10,7.72,0,13.8,0.0139603232916974
2013-07-11,8.22,0.06476683937823846,14.83,0.0746376811594202
2013-07-12,8.22,0,14.55,-0.0188806473364801
2013-07-15,8.22,0,14.74,0.0130584192439862
2013-07-16,8.22,0,14.97,0.0156037991858888
2013-07-17,8.22,0,15.35,0.0253841015364061
2013-07-18,8.22,0,15.53,0.0117263843648208
2013-07-19,8.22,0,15.56,0.0019317450096588
2013-07-22,8.22,0,15.8,0.0154241645244216
2013-07-23,8.22,0,16.1,0.0189873417721519
2013-07-24,8.22,0,15.96,-0.00869565217391308
2013-07-25,8.22,0,16.23,0.0169172932330827
2013-07-29,8.22,0,15.88,-0.0215650030807147
2013-07-30,8.22,0,15.49,-0.02455919395466
2013-07-31,8.22,0,15.38,-0.00710135571336342
2013-08-01,8.23,0.0012165450121654241,16.1,0.046814044213264
2013-08-02,8.23,0,16,-0.00621118012422369
2013-08-05,8.22,-0.0012150668286755512,15.78,-0.01375
2013-08-06,8.22,0,15.33,-0.0285171102661597
2013-08-07,8.22,0,15.32,-6.52315720808858e-4
2013-08-08,8.22,0,15.81,0.0319843342036554
2013-08-09,8.22,0,16.08,0.0170777988614799
2013-08-12,8.22,0,15.84,-0.0149253731343283
2013-08-13,8.22,0,15.84,0
2013-08-14,8.22,0,16.120001,0.0176768308080807
2013-08-15,8.22,0,17.07,0.0589329367907609
2013-08-16,8.22,0,17.190001,0.00702993555946095
2013-08-19,8.22,0,16.93,-0.0151251300101727
2013-08-20,8.22,0,16.32,-0.0360307147076196
2013-08-21,8.22,0,16.51,0.0116421568627452
2013-08-22,8.22,0,17.389999,0.0533009691096304
2013-08-23,8.22,0,17.5,0.00632553227863903
2013-08-26,8.22,0,17.139999,-0.0205714857142857
2013-08-27,8.22,0,16.57,-0.0332554861876013
2013-08-28,8.22,0,16.17,-0.0241400120700059
2013-08-29,8.72,0.0608272506082725,15.97,-0.0123685837971553
2013-08-30,8.72,0,16.049999,0.0050093299937382
2013-09-02,8.72,0,16.15,0.00623059228851035
2013-09-03,8.72,0,15.9,-0.0154798761609906
2013-09-04,8.72,0,16.16,0.0163522012578616
2013-09-05,8.72,0,16.690001,0.0327970915841583
2013-09-06,8.72,0,16.85,0.0095865182991902
2013-09-09,8.72,0,17.299999,0.0267061721068248
2013-09-10,8.72,0,17.5,0.0115607521133383
2013-09-11,8.72,0,17.469999,-0.00171434285714278
2013-09-12,8.72,0,16.860001,-0.0349168880891179
2013-09-13,8.72,0,17.17,0.0183866537137217
2013-09-16,8.72,0,17.440001,0.015725160163075
2013-09-17,8.72,0,17.6,0.00917425406110944
2013-09-18,8.72,0,17.85,0.0142045454545455
2013-09-19,8.71,-0.0011467889908256636,17.950001,0.00560229691876744
2013-09-20,8.7,-0.0011481056257177454,17.719999,-0.0128134811803074
2013-09-23,8.7,0,17.620001,-0.00564322830943743
